Institution_ID,Staff_ID,Staff_Type,Measure,Month,Passed_Count,Flagged_Count,Excluded_Count,Denominator,Pass_percentage
1,16,CRNA,FLUID01NC,8/1/2021,58,0,1,58,1
1,16,CRNA,FLUID01NC,9/1/2021,82,0,1,82,1
1,16,CRNA,FLUID01NC,10/1/2021,49,0,0,49,1
1,16,CRNA,FLUID01NC,11/1/2021,74,0,1,74,1
1,16,CRNA,MED01,5/1/2021,32,1,20,33,0.96969697
1,16,CRNA,MED01,6/1/2021,32,0,61,32,1
1,16,CRNA,MED01,7/1/2021,37,0,21,37,1
1,16,CRNA,MED01,9/1/2021,30,0,53,30,1
1,16,CRNA,PONV03,1/1/2021,36,2,11,38,0.947368421
1,16,CRNA,PONV03,2/1/2021,43,0,9,43,1
1,16,CRNA,PONV03,3/1/2021,37,4,5,41,0.902439024
1,16,CRNA,PONV03,4/1/2021,41,6,18,47,0.872340426
1,16,CRNA,PONV03,5/1/2021,42,4,7,46,0.913043478
1,16,CRNA,PONV03,6/1/2021,70,3,20,73,0.95890411
1,16,CRNA,PONV03,7/1/2021,50,5,3,55,0.909090909
1,16,CRNA,PONV03,8/1/2021,41,6,12,47,0.872340426
1,16,CRNA,PONV03,9/1/2021,59,9,15,68,0.867647059
1,16,CRNA,PONV03,10/1/2021,39,3,7,42,0.928571429
1,16,CRNA,PONV03,11/1/2021,62,5,8,67,0.925373134
1,16,CRNA,PONV03b,1/1/2021,36,2,11,38,0.947368421
1,16,CRNA,PONV03b,2/1/2021,43,0,9,43,1
1,16,CRNA,PONV03b,3/1/2021,38,3,5,41,0.926829268
1,16,CRNA,PONV03b,4/1/2021,45,2,18,47,0.957446809
1,16,CRNA,PONV03b,5/1/2021,45,1,7,46,0.97826087
1,16,CRNA,PONV03b,6/1/2021,71,2,20,73,0.97260274
1,16,CRNA,PONV03b,7/1/2021,55,0,3,55,1
1,16,CRNA,PONV03b,8/1/2021,45,2,12,47,0.957446809
1,16,CRNA,PONV03b,9/1/2021,67,1,15,68,0.985294118
1,16,CRNA,PONV03b,10/1/2021,41,1,7,42,0.976190476
1,16,CRNA,PONV03b,11/1/2021,65,2,8,67,0.970149254
1,16,CRNA,BP01,1/1/2021,47,0,2,47,1
1,16,CRNA,BP01,2/1/2021,47,0,5,47,1
1,16,CRNA,BP01,3/1/2021,45,0,1,45,1
1,16,CRNA,BP01,4/1/2021,57,0,8,57,1
1,16,CRNA,BP01,5/1/2021,52,0,1,52,1
1,16,CRNA,BP01,6/1/2021,86,0,7,86,1
1,16,CRNA,BP01,7/1/2021,56,0,2,56,1
1,16,CRNA,BP01,8/1/2021,55,0,4,55,1
1,16,CRNA,BP01,9/1/2021,79,0,4,79,1
1,16,CRNA,BP01,10/1/2021,46,0,3,46,1
1,16,CRNA,BP01,11/1/2021,71,0,4,71,1
1,16,CRNA,BP03,1/1/2021,42,5,2,47,0.893617021
1,16,CRNA,BP03,2/1/2021,45,2,5,47,0.957446809
1,16,CRNA,BP03,3/1/2021,41,2,3,43,0.953488372
1,16,CRNA,BP03,4/1/2021,53,4,8,57,0.929824561
1,16,CRNA,BP03,5/1/2021,46,6,1,52,0.884615385
1,16,CRNA,BP03,6/1/2021,79,7,7,86,0.918604651
1,16,CRNA,BP03,7/1/2021,53,3,2,56,0.946428571
1,16,CRNA,BP03,8/1/2021,52,3,4,55,0.945454545
1,16,CRNA,BP03,9/1/2021,75,4,4,79,0.949367089
1,16,CRNA,BP03,10/1/2021,41,4,4,45,0.911111111
1,16,CRNA,BP03,11/1/2021,64,7,4,71,0.901408451
1,16,CRNA,PAIN02,1/1/2021,30,7,12,37,0.810810811
1,16,CRNA,PAIN02,4/1/2021,25,5,35,30,0.833333333
1,16,CRNA,PAIN02,5/1/2021,25,5,23,30,0.833333333
1,16,CRNA,PAIN02,6/1/2021,21,10,62,31,0.677419355
1,16,CRNA,PAIN02,8/1/2021,23,9,27,32,0.71875
1,16,CRNA,PAIN02,9/1/2021,37,3,43,40,0.925
1,16,CRNA,TOC02,2/1/2021,38,0,14,38,1
1,16,CRNA,TOC02,3/1/2021,33,0,13,33,1
1,16,CRNA,TOC02,4/1/2021,29,1,35,30,0.966666667
1,16,CRNA,TOC02,5/1/2021,34,0,19,34,1
1,16,CRNA,TOC02,6/1/2021,51,0,42,51,1
1,16,CRNA,TOC02,7/1/2021,43,0,15,43,1
1,16,CRNA,TOC02,8/1/2021,41,0,18,41,1
1,16,CRNA,TOC02,9/1/2021,56,0,27,56,1
1,16,CRNA,TOC02,10/1/2021,34,0,15,34,1
1,16,CRNA,TOC02,11/1/2021,52,0,23,52,1
1,18,Resident,BP02,6/1/2021,36,1,1,37,0.972972973
1,18,Resident,BP02,7/1/2021,34,4,1,38,0.894736842
1,18,Resident,BP02,9/1/2021,34,0,0,34,1
1,18,Resident,BP02,11/1/2021,60,1,2,61,0.983606557
1,18,Resident,BP02,12/1/2021,45,1,5,46,0.97826087
1,18,Resident,FLUID01NC,6/1/2021,38,0,0,38,1
1,18,Resident,FLUID01NC,7/1/2021,39,0,0,39,1
1,18,Resident,FLUID01NC,9/1/2021,34,0,0,34,1
1,18,Resident,FLUID01NC,11/1/2021,61,0,2,61,1
1,18,Resident,FLUID01NC,12/1/2021,51,0,0,51,1
